avg_win,discard_strategy,draw_strategy,elapsed_seconds,knock_strategy,notes,player_number,rounds,seed,sim_id,start_time,var_win,wins
1.8,Discard Highest Useless,Pile if Completes,7.0520770000000015,Knock at 50,TESTING,0.0,10.0,11.0,1.0,2020-06-28 13:53:27,16.166632302368974,4.0
-1.8,Discard Highest Useless,Pile if Completes,7.0520770000000015,Knock at 13,TESTING,1.0,10.0,11.0,1.0,2020-06-28 13:53:27,16.166632302368974,6.0
-6.32,Discard Highest Useless,Pile if Completes,18.18548,Knock at 50,TESTING,0.0,25.0,13.0,2.0,2020-06-28 13:54:00,13.947673641148908,10.0
6.32,Discard Highest Useless,Pile if Completes,18.18548,Knock at 13,TESTING,1.0,25.0,13.0,2.0,2020-06-28 13:54:00,13.947673641148908,15.0
-4.04,Discard Highest Useless,Pile if Completes,85.766441,Do not Knock,TESTING,0.0,25.0,13.0,3.0,2020-06-28 13:55:35,10.978087265093134,10.0
4.04,Discard Highest Useless,Pile if Completes,85.766441,Knock at 13,TESTING,1.0,25.0,13.0,3.0,2020-06-28 13:55:35,10.978087265093134,14.0
-2.32,Discard Highest Useless,No Pile,67.12859399999999,Knock at 13,TESTING,0.0,25.0,13.0,4.0,2020-06-28 14:00:25,13.95054120813956,7.0
2.32,Discard Highest Useless,Pile if Completes,67.12859399999999,Knock at 13,TESTING,1.0,25.0,13.0,4.0,2020-06-28 14:00:25,13.95054120813956,18.0
-3.32,Discard Highest Useless,No Pile,13.119299,Knock at 50,TESTING,0.0,25.0,13.0,5.0,2020-06-28 14:03:58,211.1776,12.0
3.32,Discard Highest Useless,Pile if Completes,13.119299,Knock at 50,TESTING,1.0,25.0,13.0,5.0,2020-06-28 14:03:58,211.1776,13.0
0.4,Discard Highest Useless,No Pile,18.316905,Knock at 13,TESTING,0.0,25.0,13.0,6.0,2020-06-28 14:06:44,258.64,12.0
-0.4,Discard Highest Useless,Pile if Completes,18.316905,Knock at 50,TESTING,1.0,25.0,13.0,6.0,2020-06-28 14:06:44,258.64,11.0
0.0,Discard Highest Useless,Pile if Completes,8.938297,Knock at 0,TESTING,0.0,1.0,0.0,7.0,2020-06-28 14:57:23,0.0,0.0
0.0,Discard Highest Useless,Pile if Completes,8.938297,Knock at 0,TESTING,1.0,1.0,0.0,7.0,2020-06-28 14:57:23,0.0,0.0
-7.0,Discard Highest Useless,Pile if Completes,2.496107,Knock at 0,TESTING,0.0,1.0,1.0,8.0,2020-06-28 14:57:32,0.0,0.0
7.0,Discard Highest Useless,Pile if Completes,2.496107,Knock at 5,TESTING,1.0,1.0,1.0,8.0,2020-06-28 14:57:32,0.0,1.0
,Discard Highest Useless,Pile if Completes,8.502822,Knock at 0,TESTING,0.0,1.0,2.0,9.0,2020-06-28 14:57:35,,0.0
,Discard Highest Useless,Pile if Completes,8.502822,Knock at 10,TESTING,1.0,1.0,2.0,9.0,2020-06-28 14:57:35,,0.0
-6.0,Discard Highest Useless,Pile if Completes,3.3403940000000003,Knock at 0,TESTING,0.0,1.0,3.0,10.0,2020-06-28 14:57:43,0.0,0.0
6.0,Discard Highest Useless,Pile if Completes,3.3403940000000003,Knock at 15,TESTING,1.0,1.0,3.0,10.0,2020-06-28 14:57:43,0.0,1.0
9.0,Discard Highest Useless,Pile if Completes,5.298091,Knock at 0,TESTING,0.0,1.0,4.0,11.0,2020-06-28 14:57:47,0.0,1.0
-9.0,Discard Highest Useless,Pile if Completes,5.298091,Knock at 20,TESTING,1.0,1.0,4.0,11.0,2020-06-28 14:57:47,0.0,0.0
18.0,Discard Highest Useless,Pile if Completes,1.3921709999999998,Knock at 0,TESTING,0.0,1.0,5.0,12.0,2020-06-28 14:57:52,0.0,1.0
-18.0,Discard Highest Useless,Pile if Completes,1.3921709999999998,Knock at 25,TESTING,1.0,1.0,5.0,12.0,2020-06-28 14:57:52,0.0,0.0
13.0,Discard Highest Useless,Pile if Completes,2.8210029999999997,Knock at 0,TESTING,0.0,1.0,6.0,13.0,2020-06-28 14:57:53,0.0,1.0
-13.0,Discard Highest Useless,Pile if Completes,2.8210029999999997,Knock at 30,TESTING,1.0,1.0,6.0,13.0,2020-06-28 14:57:53,0.0,0.0
3.0,Discard Highest Useless,Pile if Completes,1.557984,Knock at 0,TESTING,0.0,1.0,7.0,14.0,2020-06-28 14:57:56,0.0,1.0
-3.0,Discard Highest Useless,Pile if Completes,1.557984,Knock at 35,TESTING,1.0,1.0,7.0,14.0,2020-06-28 14:57:56,0.0,0.0
12.0,Discard Highest Useless,Pile if Completes,0.45689399999999997,Knock at 0,TESTING,0.0,1.0,8.0,15.0,2020-06-28 14:57:58,0.0,1.0
-12.0,Discard Highest Useless,Pile if Completes,0.45689399999999997,Knock at 40,TESTING,1.0,1.0,8.0,15.0,2020-06-28 14:57:58,0.0,0.0
-13.0,Discard Highest Useless,Pile if Completes,0.743871,Knock at 0,TESTING,0.0,1.0,9.0,16.0,2020-06-28 14:57:58,0.0,0.0
13.0,Discard Highest Useless,Pile if Completes,0.743871,Knock at 45,TESTING,1.0,1.0,9.0,16.0,2020-06-28 14:57:58,0.0,1.0
23.0,Discard Highest Useless,Pile if Completes,1.574335,Knock at 0,TESTING,0.0,1.0,10.0,17.0,2020-06-28 14:57:59,0.0,1.0
-23.0,Discard Highest Useless,Pile if Completes,1.574335,Knock at 50,TESTING,1.0,1.0,10.0,17.0,2020-06-28 14:57:59,0.0,0.0
-25.0,Discard Highest Useless,Pile if Completes,0.235209,Knock at 0,TESTING,0.0,1.0,11.0,18.0,2020-06-28 14:58:01,0.0,0.0
25.0,Discard Highest Useless,Pile if Completes,0.235209,Knock at 55,TESTING,1.0,1.0,11.0,18.0,2020-06-28 14:58:01,0.0,1.0
-5.0,Discard Highest Useless,Pile if Completes,0.39376300000000003,Knock at 0,TESTING,0.0,1.0,12.0,19.0,2020-06-28 14:58:01,0.0,0.0
5.0,Discard Highest Useless,Pile if Completes,0.39376300000000003,Knock at 60,TESTING,1.0,1.0,12.0,19.0,2020-06-28 14:58:01,0.0,1.0
0.0,Discard Highest Useless,Pile if Completes,14.101463,Knock at 0,TESTING,0.0,2.0,0.0,20.0,2020-06-28 15:12:36,0.0,0.0
0.0,Discard Highest Useless,Pile if Completes,14.101463,Knock at 0,TESTING,1.0,2.0,0.0,20.0,2020-06-28 15:12:36,0.0,0.0
-3.0,Discard Highest Useless,Pile if Completes,7.988146,Knock at 0,TESTING,0.0,2.0,1.0,21.0,2020-06-28 15:12:51,16.0,1.0
3.0,Discard Highest Useless,Pile if Completes,7.988146,Knock at 5,TESTING,1.0,2.0,1.0,21.0,2020-06-28 15:12:51,16.0,1.0
-8.0,Discard Highest Useless,Pile if Completes,13.292974,Knock at 0,TESTING,0.0,2.0,2.0,22.0,2020-06-28 15:12:59,64.0,0.0
8.0,Discard Highest Useless,Pile if Completes,13.292974,Knock at 10,TESTING,1.0,2.0,2.0,22.0,2020-06-28 15:12:59,64.0,1.0
3.5,Discard Highest Useless,Pile if Completes,5.067019999999999,Knock at 0,TESTING,0.0,2.0,3.0,23.0,2020-06-28 15:13:12,90.25,1.0
-3.5,Discard Highest Useless,Pile if Completes,5.067019999999999,Knock at 15,TESTING,1.0,2.0,3.0,23.0,2020-06-28 15:13:12,90.25,1.0
9.0,Discard Highest Useless,Pile if Completes,8.491000999999999,Knock at 0,TESTING,0.0,2.0,4.0,24.0,2020-06-28 15:13:17,0.0,2.0
-9.0,Discard Highest Useless,Pile if Completes,8.491000999999999,Knock at 20,TESTING,1.0,2.0,4.0,24.0,2020-06-28 15:13:17,0.0,0.0
15.0,Discard Highest Useless,Pile if Completes,2.804569,Knock at 0,TESTING,0.0,2.0,5.0,25.0,2020-06-28 15:13:25,9.0,2.0
-15.0,Discard Highest Useless,Pile if Completes,2.804569,Knock at 25,TESTING,1.0,2.0,5.0,25.0,2020-06-28 15:13:25,9.0,0.0
11.5,Discard Highest Useless,Pile if Completes,4.333491,Knock at 0,TESTING,0.0,2.0,6.0,26.0,2020-06-28 15:13:28,2.25,2.0
-11.5,Discard Highest Useless,Pile if Completes,4.333491,Knock at 30,TESTING,1.0,2.0,6.0,26.0,2020-06-28 15:13:28,2.25,0.0
-6.5,Discard Highest Useless,Pile if Completes,2.178681,Knock at 0,TESTING,0.0,2.0,7.0,27.0,2020-06-28 15:13:33,90.25,1.0
6.5,Discard Highest Useless,Pile if Completes,2.178681,Knock at 35,TESTING,1.0,2.0,7.0,27.0,2020-06-28 15:13:33,90.25,1.0
14.0,Discard Highest Useless,Pile if Completes,2.035009,Knock at 0,TESTING,0.0,2.0,8.0,28.0,2020-06-28 15:13:35,4.0,2.0
-14.0,Discard Highest Useless,Pile if Completes,2.035009,Knock at 40,TESTING,1.0,2.0,8.0,28.0,2020-06-28 15:13:35,4.0,0.0
-7.0,Discard Highest Useless,Pile if Completes,2.987714,Knock at 0,TESTING,0.0,2.0,9.0,29.0,2020-06-28 15:13:37,36.0,0.0
7.0,Discard Highest Useless,Pile if Completes,2.987714,Knock at 45,TESTING,1.0,2.0,9.0,29.0,2020-06-28 15:13:37,36.0,2.0
15.0,Discard Highest Useless,Pile if Completes,3.716567,Knock at 0,TESTING,0.0,2.0,10.0,30.0,2020-06-28 15:13:40,64.0,2.0
-15.0,Discard Highest Useless,Pile if Completes,3.716567,Knock at 50,TESTING,1.0,2.0,10.0,30.0,2020-06-28 15:13:40,64.0,0.0
-15.0,Discard Highest Useless,Pile if Completes,1.155122,Knock at 0,TESTING,0.0,2.0,11.0,31.0,2020-06-28 15:13:44,100.0,0.0
15.0,Discard Highest Useless,Pile if Completes,1.155122,Knock at 55,TESTING,1.0,2.0,11.0,31.0,2020-06-28 15:13:44,100.0,2.0
16.5,Discard Highest Useless,Pile if Completes,0.775796,Knock at 0,TESTING,0.0,2.0,12.0,32.0,2020-06-28 15:13:45,462.25,1.0
-16.5,Discard Highest Useless,Pile if Completes,0.775796,Knock at 60,TESTING,1.0,2.0,12.0,32.0,2020-06-28 15:13:45,462.25,1.0
-0.59,Discard Highest Useless,Pile if Completes,665.674302,Knock at 0,Looking for best strategy against an opponent who knocks only at 0,0.0,100.0,0.0,33.0,2020-06-28 15:21:39,74.0619,35.0
0.59,Discard Highest Useless,Pile if Completes,665.674302,Knock at 0,Looking for best strategy against an opponent who knocks only at 0,1.0,100.0,0.0,33.0,2020-06-28 15:21:39,74.0619,45.0
-0.62,Discard Highest Useless,Pile if Completes,489.971976,Knock at 0,Looking for best strategy against an opponent who knocks only at 0,0.0,100.0,1.0,34.0,2020-06-28 15:32:45,97.9756,43.0
0.62,Discard Highest Useless,Pile if Completes,489.971976,Knock at 5,Looking for best strategy against an opponent who knocks only at 0,1.0,100.0,1.0,34.0,2020-06-28 15:32:45,97.9756,54.0
-2.56,Discard Highest Useless,Pile if Completes,377.06119,Knock at 0,Looking for best strategy against an opponent who knocks only at 0,0.0,100.0,2.0,35.0,2020-06-28 15:40:55,114.60639999999998,34.0
2.56,Discard Highest Useless,Pile if Completes,377.06119,Knock at 10,Looking for best strategy against an opponent who knocks only at 0,1.0,100.0,2.0,35.0,2020-06-28 15:40:55,114.60639999999998,61.0
-3.31,Discard Highest Useless,Pile if Completes,295.712303,Knock at 0,Looking for best strategy against an opponent who knocks only at 0,0.0,100.0,3.0,36.0,2020-06-28 15:47:12,140.83389999999997,40.0
3.31,Discard Highest Useless,Pile if Completes,295.712303,Knock at 15,Looking for best strategy against an opponent who knocks only at 0,1.0,100.0,3.0,36.0,2020-06-28 15:47:12,140.83389999999997,56.0
-2.12,Discard Highest Useless,Pile if Completes,255.138871,Knock at 0,Looking for best strategy against an opponent who knocks only at 0,0.0,100.0,4.0,37.0,2020-06-28 15:52:08,196.1056,51.0
2.12,Discard Highest Useless,Pile if Completes,255.138871,Knock at 20,Looking for best strategy against an opponent who knocks only at 0,1.0,100.0,4.0,37.0,2020-06-28 15:52:08,196.1056,48.0
-1.79,Discard Highest Useless,Pile if Completes,242.737432,Knock at 0,Looking for best strategy against an opponent who knocks only at 0,0.0,100.0,5.0,38.0,2020-06-28 15:56:23,259.7459,53.0
1.79,Discard Highest Useless,Pile if Completes,242.737432,Knock at 25,Looking for best strategy against an opponent who knocks only at 0,1.0,100.0,5.0,38.0,2020-06-28 15:56:23,259.7459,43.0
1.58,Discard Highest Useless,Pile if Completes,207.738952,Knock at 0,Looking for best strategy against an opponent who knocks only at 0,0.0,100.0,6.0,39.0,2020-06-28 16:00:25,182.3636,59.0
-1.58,Discard Highest Useless,Pile if Completes,207.738952,Knock at 30,Looking for best strategy against an opponent who knocks only at 0,1.0,100.0,6.0,39.0,2020-06-28 16:00:25,182.3636,39.0
-0.88,Discard Highest Useless,Pile if Completes,115.661828,Knock at 0,Looking for best strategy against an opponent who knocks only at 0,0.0,100.0,7.0,40.0,2020-06-28 16:03:53,278.8056,51.0
0.88,Discard Highest Useless,Pile if Completes,115.661828,Knock at 35,Looking for best strategy against an opponent who knocks only at 0,1.0,100.0,7.0,40.0,2020-06-28 16:03:53,278.8056,46.0
1.92,Discard Highest Useless,Pile if Completes,110.75353100000001,Knock at 0,Looking for best strategy against an opponent who knocks only at 0,0.0,100.0,8.0,41.0,2020-06-28 16:05:49,289.31359999999995,58.0
-1.92,Discard Highest Useless,Pile if Completes,110.75353100000001,Knock at 40,Looking for best strategy against an opponent who knocks only at 0,1.0,100.0,8.0,41.0,2020-06-28 16:05:49,289.31359999999995,39.0
4.23,Discard Highest Useless,Pile if Completes,85.28135400000002,Knock at 0,Looking for best strategy against an opponent who knocks only at 0,0.0,100.0,9.0,42.0,2020-06-28 16:07:40,261.0171,58.0
